iter	Passed	Remaining
549	8965	7335
550	8977	7315
551	8986	7293
552	8999	7274
553	9014	7257
554	9026	7237
555	9039	7218
556	9051	7198
557	9074	7188
558	9083	7165
559	9094	7145
560	9105	7125
561	9117	7106
562	9129	7086
563	9140	7066
564	9149	7044
565	9160	7024
566	9172	7004
567	9181	6983
568	9193	6964
569	9206	6944
570	9219	6926
571	9230	6906
572	9242	6887
573	9253	6867
574	9264	6847
575	9277	6829
576	9287	6808
577	9298	6788
578	9309	6769
579	9318	6747
580	9328	6727
581	9337	6706
582	9347	6685
583	9358	6666
584	9367	6645
585	9380	6626
586	9390	6606
587	9398	6585
588	9429	6579
589	9440	6560
590	9449	6539
591	9465	6523
592	9484	6509
593	9507	6498
594	9523	6482
595	9533	6462
596	9550	6446
597	9561	6427
598	9572	6408
599	9601	6400
600	9611	6380
601	9622	6361
602	9631	6341
603	9642	6321
604	9653	6302
605	9662	6282
606	9676	6264
607	9686	6245
608	9696	6225
609	9706	6205
610	9714	6185
611	9753	6183
612	9761	6162
613	9773	6144
614	9783	6124
615	9793	6104
616	9803	6085
617	9811	6064
618	9822	6045
619	9833	6027
620	9842	6007
621	9852	5987
622	9864	5969
623	9873	5949
624	9885	5931
625	9909	5920
626	9920	5901
627	9928	5881
628	9938	5862
629	9950	5843
630	9959	5823
631	9969	5804
632	9979	5786
633	9992	5768
634	10006	5751
635	10019	5734
636	10031	5716
637	10039	5696
638	10067	5687
639	10075	5667
640	10087	5649
641	10098	5631
642	10106	5611
643	10116	5592
644	10125	5572
645	10136	5554
646	10147	5536
647	10157	5517
648	10172	5501
649	10187	5485
650	10198	5467
651	10207	5448
652	10219	5430
653	10229	5412
654	10238	5392
655	10251	5375
656	10302	5378
657	10317	5362
658	10332	5346
659	10348	5331
660	10370	5318
661	10387	5303
662	10403	5287
663	10419	5272
664	10447	5262
665	10482	5257
666	10496	5240
667	10508	5222
668	10519	5204
669	10532	5187
670	10548	5171
671	10563	5155
672	10581	5141
673	10596	5125
674	10611	5109
675	10625	5092
676	10639	5076
677	10701	5082
678	10714	5065
679	10730	5049
680	10744	5033
681	10759	5016
682	10775	5001
683	10788	4984
684	10799	4966
685	10814	4950
686	10854	4945
687	10866	4927
688	10879	4910
689	10892	4893
690	10909	4878
691	10923	4861
692	10937	4845
693	10950	4828
694	10969	4814
695	10982	4796
696	11020	4791
697	11035	4774
698	11050	4758
699	11069	4743
700	11080	4726
701	11094	4709
702	11108	4693
703	11124	4677
704	11139	4661
705	11153	4644
706	11166	4627
707	11180	4611
708	11198	4596
709	11232	4587
710	11241	4569
711	11251	4551
712	11266	4534
713	11280	4518
714	11291	4500
715	11302	4483
716	11312	4465
717	11324	4447
718	11339	4431
719	11351	4414
720	11437	4425
721	11470	4416
722	11489	4401
723	11514	4389
724	11535	4375
725	11554	4360
726	11601	4356
727	11649	4352
728	11720	4357
729	11766	4351
730	11830	4353
731	11860	4342
732	11888	4330
733	11912	4316
734	11926	4299
735	11937	4281
736	11951	4264
737	11982	4254
738	11998	4237
739	12013	4221
740	12026	4203
741	12043	4187
742	12053	4169
743	12066	4151
744	12079	4134
745	12092	4117
746	12102	4099
747	12117	4082
748	12148	4071
749	12161	4053
750	12174	4036
751	12184	4018
752	12196	4000
753	12211	3984
754	12224	3966
755	12234	3948
756	12249	3932
757	12262	3914
758	12276	3898
759	12292	3881
760	12322	3870
761	12336	3853
762	12347	3835
763	12363	3819
764	12407	3811
765	12427	3796
766	12443	3780
767	12461	3764
768	12493	3753
769	12509	3736
770	12528	3721
771	12545	3705
772	12563	3689
773	12576	3672
774	12686	3683
775	12709	3668
776	12764	3663
777	12804	3653
778	12861	3648
779	12875	3631
780	12889	3614
781	12903	3597
782	12918	3580
783	12930	3562
784	12943	3544
785	12970	3531
786	13009	3521
787	13025	3504
788	13043	3488
789	13058	3471
790	13075	3454
791	13092	3438
792	13117	3424
793	13136	3408
794	13155	3392
795	13173	3376
796	13205	3363
797	13235	3350
798	13307	3347
799	13355	3338
800	13409	3331
801	13430	3315
802	13440	3297
803	13454	3280
804	13467	3262
805	13481	3244
806	13494	3227
807	13506	3209
808	13527	3193
809	13538	3175
810	13552	3158
811	13610	3151
812	13630	3135
813	13649	3119
814	13666	3102
815	13678	3084
816	13693	3067
817	13705	3049
818	13720	3032
819	13736	3015
820	13755	2998
821	13771	2982
822	13786	2964
823	13804	2948
824	13850	2938
825	13867	2921
826	13888	2905
827	13900	2887
828	13913	2869
829	13927	2852
830	13941	2835
831	13955	2817
832	13966	2799
833	13997	2786
834	14014	2769
835	14039	2754
836	14063	2738
837	14091	2724
838	14113	2708
839	14140	2693
840	14178	2680
841	14191	2662
842	14203	2645
843	14214	2627
844	14229	2610
845	14242	2592
846	14256	2575
847	14268	2557
848	14279	2539
849	14293	2522
850	14334	2509
851	14344	2491
852	14356	2474
853	14370	2456
854	14384	2439
855	14394	2421
856	14409	2404
857	14422	2386
858	14437	2369
859	14449	2352
860	14460	2334
861	14490	2319
862	14503	2302
863	14516	2285
864	14529	2267
865	14552	2251
866	14591	2238
867	14609	2221
868	14626	2204
869	14663	2191
870	14674	2173
871	14686	2155
872	14699	2138
873	14722	2122
874	14739	2105
875	14755	2088
876	14772	2071
877	14788	2054
878	14834	2042
879	14851	2025
880	14869	2008
881	14885	1991
882	14899	1974
883	14915	1957
884	14930	1940
885	14946	1923
886	14960	1905
887	15001	1892
888	15018	1875
889	15034	1858
890	15050	1841
891	15066	1824
892	15082	1807
893	15097	1790
894	15113	1773
895	15128	1755
896	15144	1738
897	15183	1724
898	15198	1707
899	15212	1690
900	15226	1673
901	15239	1655
902	15256	1638
903	15268	1621
904	15281	1604
905	15296	1587
906	15330	1571
907	15346	1554
908	15361	1537
909	15376	1520
910	15392	1503
911	15407	1486
912	15418	1469
913	15430	1451
914	15447	1434
915	15463	1418
916	15479	1401
917	15493	1383
918	15506	1366
919	15520	1349
920	15552	1334
921	15567	1316
922	15626	1303
923	15678	1289
924	15704	1273
925	15750	1258
926	15817	1245
927	15859	1230
928	15895	1214
